,home_team,away_team,home_score,away_score,days_since,home_win
0,Salamander,Hard Legion,0.0,2.0,0.0,0.0
1,G2,North,1.0,2.0,0.0,0.0
2,Syman,SG.pro,0.0,2.0,0.0,0.0
3,Japaleno,HAVU,0.0,2.0,0.0,0.0
4,Sprout,Nordavind,1.0,0.0,0.0,1.0
5,AGO,SMASH,1.0,2.0,0.0,0.0
6,Astralis,Heroic,2.0,0.0,0.0,1.0
7,Rooster,Chiefs,0.0,1.0,0.0,0.0
8,Endpoint,SG.pro,2.0,1.0,0.0,1.0
9,Forbidden,Control,0.0,1.0,0.0,0.0
10,SMASH,Hard Legion,1.0,0.0,0.0,1.0
11,Paradox,AVANT,0.0,1.0,0.0,0.0
12,Salamander,AGO,0.0,1.0,0.0,0.0
13,Swedish Canadians,Polar Ace,1.0,0.0,0.0,1.0
14,Chaos,Warriors International,1.0,0.0,0.0,1.0
15,Singularity,PACT,0.0,1.0,0.0,0.0
16,Nordavind,FATE,2.0,0.0,0.0,1.0
17,Ambush,sAw,1.0,2.0,0.0,0.0
18,Syman,LDLC,1.0,2.0,0.0,0.0
19,Hard Legion,Salamander,2.0,0.0,0.0,1.0
20,North,G2,2.0,1.0,0.0,1.0
21,SG.pro,Syman,2.0,0.0,0.0,1.0
22,HAVU,Japaleno,2.0,0.0,0.0,1.0
23,Nordavind,Sprout,0.0,1.0,0.0,0.0
24,SMASH,AGO,2.0,1.0,0.0,1.0
25,Heroic,Astralis,0.0,2.0,0.0,0.0
26,Chiefs,Rooster,1.0,0.0,0.0,1.0
27,SG.pro,Endpoint,1.0,2.0,0.0,0.0
28,Control,Forbidden,1.0,0.0,0.0,1.0
29,Hard Legion,SMASH,0.0,1.0,0.0,0.0
30,AVANT,Paradox,1.0,0.0,0.0,1.0
31,AGO,Salamander,1.0,0.0,0.0,1.0
32,Polar Ace,Swedish Canadians,0.0,1.0,0.0,0.0
33,Warriors International,Chaos,0.0,1.0,0.0,0.0
34,PACT,Singularity,1.0,0.0,0.0,1.0
35,FATE,Nordavind,0.0,2.0,0.0,0.0
36,sAw,Ambush,2.0,1.0,0.0,1.0
37,LDLC,Syman,2.0,1.0,0.0,1.0
38,Endpoint,AVEZ,2.0,0.0,1.0,1.0
39,Nemiga,ALTERNATE aTTaX,0.0,1.0,1.0,0.0
40,FATE,sAw,1.0,2.0,1.0,0.0
41,AGF,Ambush,0.0,2.0,1.0,0.0
42,Singularity,sAw,1.0,2.0,1.0,0.0
43,Ambush,Pompa,2.0,0.0,1.0,1.0
44,Bantz,TWA,0.0,1.0,1.0,0.0
45,FATE,HellRaisers,2.0,1.0,1.0,1.0
46,LDLC,AGF,1.0,2.0,1.0,0.0
47,W7M,RED Canids,2.0,0.0,1.0,1.0
48,Secret,compLexity,0.0,2.0,1.0,0.0
49,NiP,Heretics,2.0,1.0,1.0,1.0
50,Astralis,G2,3.0,0.0,1.0,1.0
51,Sprout,compLexity,0.0,2.0,1.0,0.0
52,KINGZZZ,mYinsanity,2.0,0.0,1.0,1.0
53,AVEZ,Endpoint,0.0,2.0,1.0,0.0
54,ALTERNATE aTTaX,Nemiga,1.0,0.0,1.0,1.0
55,sAw,FATE,2.0,1.0,1.0,1.0
56,Ambush,AGF,2.0,0.0,1.0,1.0
57,sAw,Singularity,2.0,1.0,1.0,1.0
58,Pompa,Ambush,0.0,2.0,1.0,0.0
59,TWA,Bantz,1.0,0.0,1.0,1.0
60,HellRaisers,FATE,1.0,2.0,1.0,0.0
61,AGF,LDLC,2.0,1.0,1.0,1.0
62,RED Canids,W7M,0.0,2.0,1.0,0.0
63,compLexity,Secret,2.0,0.0,1.0,1.0
64,Heretics,NiP,1.0,2.0,1.0,0.0
65,G2,Astralis,0.0,3.0,1.0,0.0
66,compLexity,Sprout,2.0,0.0,1.0,1.0
67,mYinsanity,KINGZZZ,0.0,2.0,1.0,0.0
68,Real Betis,Wygers,2.0,1.0,2.0,1.0
69,Virtus.pro,Hard Legion,1.0,2.0,2.0,0.0
70,Spirit,Winstrike,2.0,0.0,2.0,1.0
71,sAw,KPI,2.0,0.0,2.0,1.0
72,Secret,Gambit Youngsters,2.0,1.0,2.0,1.0
73,Skyfire,Generation of Miracles,1.0,2.0,2.0,0.0
74,Overt,Generation of Miracles,0.0,2.0,2.0,0.0
75,Generation of Miracles,Skyfire,0.0,2.0,2.0,0.0
76,RED Canids,Isurus,2.0,1.0,2.0,1.0
77,G2,FaZe,2.0,1.0,2.0,1.0
78,GODSENT,North,2.0,1.0,2.0,1.0
79,Hard Legion,Gambit Youngsters,2.0,1.0,2.0,1.0
80,Giants,x6tence,2.0,1.0,2.0,1.0
81,Wygers,Real Betis,1.0,2.0,2.0,0.0
82,Hard Legion,Virtus.pro,2.0,1.0,2.0,1.0
83,Winstrike,Spirit,0.0,2.0,2.0,0.0
84,KPI,sAw,0.0,2.0,2.0,0.0
85,Gambit Youngsters,Secret,1.0,2.0,2.0,0.0
86,Generation of Miracles,Skyfire,2.0,1.0,2.0,1.0
87,Generation of Miracles,Overt,2.0,0.0,2.0,1.0
88,Skyfire,Generation of Miracles,2.0,0.0,2.0,1.0
89,Isurus,RED Canids,1.0,2.0,2.0,0.0
90,FaZe,G2,1.0,2.0,2.0,0.0
91,North,GODSENT,1.0,2.0,2.0,0.0
92,Gambit Youngsters,Hard Legion,1.0,2.0,2.0,0.0
93,x6tence,Giants,1.0,2.0,2.0,0.0
94,Secret,SMASH,2.0,0.0,3.0,1.0
95,Nemiga,Syman,2.0,0.0,3.0,1.0
96,Hard Legion,Winstrike,0.0,2.0,3.0,0.0
97,Endpoint,compLexity,0.0,2.0,3.0,0.0
98,Movistar Riders,S2V,2.0,1.0,3.0,1.0
99,Salamander,Sprout,1.0,2.0,3.0,0.0
100,W7M,Keyd,2.0,0.0,3.0,1.0
101,Astralis,FaZe,2.0,0.0,3.0,1.0
102,Copenhagen Flames,Gambit Youngsters,0.0,2.0,3.0,0.0
103,SMASH,Secret,0.0,2.0,3.0,0.0
104,Syman,Nemiga,0.0,2.0,3.0,0.0
105,Winstrike,Hard Legion,2.0,0.0,3.0,1.0
106,compLexity,Endpoint,2.0,0.0,3.0,1.0
107,S2V,Movistar Riders,1.0,2.0,3.0,0.0
108,Sprout,Salamander,2.0,1.0,3.0,1.0
109,Keyd,W7M,0.0,2.0,3.0,0.0
110,FaZe,Astralis,0.0,2.0,3.0,0.0
111,Gambit Youngsters,Copenhagen Flames,2.0,0.0,3.0,1.0
112,AVEZ,Gambit Youngsters,0.0,2.0,4.0,0.0
113,Vitality,G2,1.0,2.0,4.0,0.0
114,NAVI Junior,LDLC,2.0,0.0,4.0,1.0
115,Copenhagen Flames,Sprout,0.0,2.0,4.0,0.0
116,Spirit,Virtus.pro,2.0,1.0,4.0,1.0
117,Gambit Youngsters,Sprout,0.0,1.0,4.0,0.0
118,Copenhagen Flames,AVEZ,1.0,0.0,4.0,1.0
119,Swedish Canadians,Infinity,1.0,0.0,4.0,1.0
120,AA,Warriors International,0.0,1.0,4.0,0.0
121,Keep the Comms Up,Recon 5,0.0,1.0,4.0,0.0
122,Chaos,Polar Ace,1.0,0.0,4.0,1.0
123,Mythic,"blood, sweat, and tears",1.0,0.0,4.0,1.0
124,AVEZ,Secret,1.0,0.0,4.0,1.0
125,Heretics,G2,1.0,2.0,4.0,0.0
126,SKADE,SMASH,1.0,2.0,4.0,0.0
127,sAw,AVEZ,0.0,1.0,4.0,0.0
128,sAw,Secret,0.0,1.0,4.0,0.0
129,ALTERNATE aTTaX,PACT,0.0,1.0,4.0,0.0
130,Movistar Riders,FATE,0.0,1.0,4.0,0.0
131,Espada,NAVI Junior,2.0,1.0,4.0,1.0
132,Gambit Youngsters,AVEZ,2.0,0.0,4.0,1.0
133,G2,Vitality,2.0,1.0,4.0,1.0
134,LDLC,NAVI Junior,0.0,2.0,4.0,0.0
135,Sprout,Copenhagen Flames,2.0,0.0,4.0,1.0
136,Virtus.pro,Spirit,1.0,2.0,4.0,0.0
137,Sprout,Gambit Youngsters,1.0,0.0,4.0,1.0
138,AVEZ,Copenhagen Flames,0.0,1.0,4.0,0.0
139,Infinity,Swedish Canadians,0.0,1.0,4.0,0.0
140,Warriors International,AA,1.0,0.0,4.0,1.0
141,Recon 5,Keep the Comms Up,1.0,0.0,4.0,1.0
142,Polar Ace,Chaos,0.0,1.0,4.0,0.0
143,"blood, sweat, and tears",Mythic,0.0,1.0,4.0,0.0
144,Secret,AVEZ,0.0,1.0,4.0,0.0
145,G2,Heretics,2.0,1.0,4.0,1.0
146,SMASH,SKADE,2.0,1.0,4.0,1.0
147,AVEZ,sAw,1.0,0.0,4.0,1.0
148,Secret,sAw,1.0,0.0,4.0,1.0
149,PACT,ALTERNATE aTTaX,1.0,0.0,4.0,1.0
150,FATE,Movistar Riders,1.0,0.0,4.0,1.0
151,NAVI Junior,Espada,1.0,2.0,4.0,0.0
152,SMASH,KOVA,2.0,1.0,5.0,1.0
153,AVEZ,Heretics,0.0,1.0,5.0,0.0
154,ALTERNATE aTTaX,Unicorns of Love,1.0,0.0,5.0,1.0
155,Vitality,NiP,2.0,1.0,5.0,1.0
156,AGO,GamerLegion,1.0,0.0,5.0,1.0
157,Heretics,sAw,1.0,0.0,5.0,1.0
158,Pompa,LDLC,0.0,2.0,5.0,0.0
159,TWA,Ground Zero,0.0,1.0,5.0,0.0
160,SKADE,Endpoint,1.0,2.0,5.0,0.0
161,Ground Zero,Incept,1.0,0.0,5.0,1.0
162,PC419,ORDER,0.0,1.0,5.0,0.0
163,AVANT, esea open,1.0,0.0,5.0,1.0
164,Winstrike,Syman,2.0,0.0,5.0,1.0
165,Endpoint,KOVA,1.0,0.0,5.0,1.0
166,Paradox,ORDER,0.0,1.0,5.0,0.0
167,Forbidden,TWA,0.0,1.0,5.0,0.0
168,ORDER,AVANT,1.0,0.0,5.0,1.0
169,Incept, esea open,1.0,0.0,5.0,1.0
170,SKADE,SMASH,1.0,0.0,5.0,1.0
171,Warriors International,Recon 5,0.0,1.0,5.0,0.0
172,KOVA,SMASH,1.0,2.0,5.0,0.0
173,Heretics,AVEZ,1.0,0.0,5.0,1.0
174,Unicorns of Love,ALTERNATE aTTaX,0.0,1.0,5.0,0.0
175,NiP,Vitality,1.0,2.0,5.0,0.0
176,GamerLegion,AGO,0.0,1.0,5.0,0.0
177,sAw,Heretics,0.0,1.0,5.0,0.0
178,LDLC,Pompa,2.0,0.0,5.0,1.0
179,Ground Zero,TWA,1.0,0.0,5.0,1.0
180,Endpoint,SKADE,2.0,1.0,5.0,1.0
181,Incept,Ground Zero,0.0,1.0,5.0,0.0
182,ORDER,PC419,1.0,0.0,5.0,1.0
183, esea open,AVANT,0.0,1.0,5.0,0.0
184,Syman,Winstrike,0.0,2.0,5.0,0.0
185,KOVA,Endpoint,0.0,1.0,5.0,0.0
186,ORDER,Paradox,1.0,0.0,5.0,1.0
187,TWA,Forbidden,1.0,0.0,5.0,1.0
188,AVANT,ORDER,0.0,1.0,5.0,0.0
189, esea open,Incept,0.0,1.0,5.0,0.0
190,SMASH,SKADE,0.0,1.0,5.0,0.0
191,Recon 5,Warriors International,1.0,0.0,5.0,1.0
192,Espada,compLexity,1.0,2.0,6.0,0.0
193,Japaleno,Movistar Riders,1.0,0.0,6.0,1.0
194,FaZe,NiP,2.0,1.0,6.0,1.0
195,Overt,Skyfire,0.0,1.0,6.0,0.0
196,Secret,Sinners,2.0,1.0,6.0,1.0
197,Justice,FURY,1.0,0.0,6.0,1.0
